,x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,Uniprot
41376,-3.884853,-3.4658763,66031_1277_C7_2,0 5,"Nucleoplasm,N. bodies",SNAPC3,ENSG00000164975,HeLa,Q92966 Q5T282 Q5T284
41405,-1.7066008,4.822961,6672_8_G8_1,0 5,"Nucleoplasm,N. bodies",ZKSCAN1,ENSG00000106261,A-431,P17029 B3KRF7 C9JRM9 E9PC66
41406,-1.734462,4.736083,6672_8_G8_2,0 5,"Nucleoplasm,N. bodies",ZKSCAN1,ENSG00000106261,A-431,P17029 B3KRF7 C9JRM9 E9PC66
41428,-3.8683267,-3.2426045,66567_1250_A10_1,0 5,"Nucleoplasm,N. bodies",SKI,ENSG00000157933,U-2 OS,P12755
41429,-4.479004,-3.7050045,66567_1250_A10_3,0 5,"Nucleoplasm,N. bodies",SKI,ENSG00000157933,U-2 OS,P12755
41430,-4.64554,-2.8151534,66567_1255_A10_1,0 5,"Nucleoplasm,N. bodies",SKI,ENSG00000157933,CACO-2,P12755
41431,-4.620714,-2.7928212,66567_1255_A10_2,0 5,"Nucleoplasm,N. bodies",SKI,ENSG00000157933,CACO-2,P12755
41454,-4.263001,-3.728984,63671_1193_A5_1,0 5,"Nucleoplasm,N. bodies",HOXD3,ENSG00000128652,U-2 OS,P31249 C9J1M3
41455,-4.2162976,-3.7032585,63671_1193_A5_2,0 5,"Nucleoplasm,N. bodies",HOXD3,ENSG00000128652,U-2 OS,P31249 C9J1M3
41456,-4.389588,-4.393963,63671_1223_A5_1,0 5,"Nucleoplasm,N. bodies",HOXD3,ENSG00000128652,SH-SY5Y,P31249 C9J1M3
41457,-4.323299,-4.394772,63671_1223_A5_3,0 5,"Nucleoplasm,N. bodies",HOXD3,ENSG00000128652,SH-SY5Y,P31249 C9J1M3
41471,-3.9813452,-2.9068706,63592_1232_G4_2,0 5,"Nucleoplasm,N. bodies",ZFAT,ENSG00000066827,MCF7,Q9P243 E5RGN2 E5RH37 E5RJL9 E5RJT2 E9PBN4 F8W7M8 H0YBJ1 H0YC51
41479,-4.445994,-3.6139548,63592_1232_G4_1,0 5,"Nucleoplasm,N. bodies",ZFAT,ENSG00000066827,MCF7,Q9P243 E5RGN2 E5RH37 E5RJL9 E5RJT2 E9PBN4 F8W7M8 H0YBJ1 H0YC51
41549,3.8973908,-6.882307,628_1401_F1_2,1 5,"N. membrane,N. bodies",KLHDC2,ENSG00000165516,RH-30,Q9Y2U9 G3V2H2 G3V3U8
41554,3.7816887,-6.8623605,628_1158_F1_1,0 1,"Nucleoplasm,N. membrane",KLHDC2,ENSG00000165516,U-2 OS,Q9Y2U9 G3V2H2 G3V3U8
41555,3.7517493,-6.766472,628_1158_F1_2,0 1,"Nucleoplasm,N. membrane",KLHDC2,ENSG00000165516,U-2 OS,Q9Y2U9 G3V2H2 G3V3U8
41556,3.654571,-6.2871947,628_1216_E11_1,0 1,"Nucleoplasm,N. membrane",KLHDC2,ENSG00000165516,PC-3,Q9Y2U9 G3V2H2 G3V3U8
41557,3.6737566,-6.3252544,628_1216_E11_3,0 1,"Nucleoplasm,N. membrane",KLHDC2,ENSG00000165516,PC-3,Q9Y2U9 G3V2H2 G3V3U8
41558,3.9053915,-6.9323173,628_1401_F1_3,1 5,"N. membrane,N. bodies",KLHDC2,ENSG00000165516,RH-30,Q9Y2U9 G3V2H2 G3V3U8
41624,-4.890963,-3.4056265,64684_1152_C9_1,0 5,"Nucleoplasm,N. bodies",ATRX,ENSG00000085224,RH-30,P46100 A0A087WWG0 A0A096LNL6 A0A096LNL7 A0A096LNL9 A0A096LNN3 A0A096LNR8 A0A096LNW1 A0A096LNX6 A0A096LP59 A0A096LPG6 A0A6Q8PHA4 H0Y3T0
41625,-4.845384,-3.3929043,64684_1152_C9_2,0 5,"Nucleoplasm,N. bodies",ATRX,ENSG00000085224,RH-30,P46100 A0A087WWG0 A0A096LNL6 A0A096LNL7 A0A096LNL9 A0A096LNN3 A0A096LNR8 A0A096LNW1 A0A096LNX6 A0A096LP59 A0A096LPG6 A0A6Q8PHA4 H0Y3T0
41687,-5.1291037,-1.7591745,64732_1193_D11_1,0 5,"Nucleoplasm,N. bodies",DVL2,ENSG00000004975,U-2 OS,O14641 I3L0M7 I3L0Z8 I3L2N2 I3L2W9
41688,-5.103828,-1.464472,64732_1193_D11_2,0 5,"Nucleoplasm,N. bodies",DVL2,ENSG00000004975,U-2 OS,O14641 I3L0M7 I3L0Z8 I3L2N2 I3L2W9
41697,-4.250936,-4.1182623,64763_1241_G8_2,0 5,"Nucleoplasm,N. bodies",ZBTB4,ENSG00000174282,U-251 MG,Q9P1Z0
41698,-4.3755174,-4.1013,64763_1241_G8_5,0 5,"Nucleoplasm,N. bodies",ZBTB4,ENSG00000174282,U-251 MG,Q9P1Z0
41787,-4.367312,-3.583373,64396_1254_A6_1,0 5,"Nucleoplasm,N. bodies",PPME1,ENSG00000214517,CACO-2,Q9Y570
41788,-4.2180576,-3.4816504,64396_1254_A6_2,0 5,"Nucleoplasm,N. bodies",PPME1,ENSG00000214517,CACO-2,Q9Y570
41885,-4.6142473,-3.7979214,70499_1653_B2_5,0 5,"Nucleoplasm,N. bodies",MKNK2,ENSG00000099875,SiHa,Q9HBH9 K7EIN7 K7EJ98 K7EK27 K7ELG3 K7ELN0 K7EMP5 Q9NV89
41886,-4.639531,-3.8712225,70499_1653_B2_6,0 5,"Nucleoplasm,N. bodies",MKNK2,ENSG00000099875,SiHa,Q9HBH9 K7EIN7 K7EJ98 K7EK27 K7ELG3 K7ELN0 K7EMP5 Q9NV89
41925,-4.1138587,-4.1384387,70793_1324_H7_12,1 5,"N. membrane,N. bodies",PLXDC2,ENSG00000120594,HaCaT,Q6UX71
41934,-3.7620652,-3.9425402,70793_1324_H7_9,1 5,"N. membrane,N. bodies",PLXDC2,ENSG00000120594,HaCaT,Q6UX71
41936,-4.161536,-4.156044,70793_1411_H7_2,1 5,"N. membrane,N. bodies",PLXDC2,ENSG00000120594,HeLa,Q6UX71
41937,-4.1171165,-4.1582737,70793_1411_H7_4,1 5,"N. membrane,N. bodies",PLXDC2,ENSG00000120594,HeLa,Q6UX71
41952,-0.71201515,-4.576389,70644_1690_A1_3,0 2,"Nucleoplasm,Nucleoli",INO80B,ENSG00000115274,PC-3,Q9C086 B8ZZ93 B8ZZH7 C9JKY0 H7C171
41953,-1.0296446,-4.413995,70644_1690_A1_4,0 2,"Nucleoplasm,Nucleoli",INO80B,ENSG00000115274,PC-3,Q9C086 B8ZZ93 B8ZZH7 C9JKY0 H7C171
41967,-3.7699192,-4.3273897,1759_31_F11_2,0 5,"Nucleoplasm,N. bodies",ARNT,ENSG00000143437,U-251 MG,P27540 A6NGV6 D6RDB3
41969,-4.266099,-4.226968,1759_31_F11_1,0 5,"Nucleoplasm,N. bodies",ARNT,ENSG00000143437,U-251 MG,P27540 A6NGV6 D6RDB3
41992,-4.3214684,-3.32302,17224_166_G2_2,0 5,"Nucleoplasm,N. bodies",CDT1,ENSG00000167513,U-251 MG,Q9H211 H3BSY1
42001,-4.346263,-3.3769875,17224_166_G2_1,0 5,"Nucleoplasm,N. bodies",CDT1,ENSG00000167513,U-251 MG,Q9H211 H3BSY1
42048,-3.855852,-4.7172923,724_40_C1_1,5 6,"N. bodies,ER",INF2,ENSG00000203485,U-251 MG,Q27J81 A0A087X118 A0A0A0MQU1 A0A6Q8PEY5 A0A6Q8PEY8 A0A6Q8PF29 A0A6Q8PF44 A0A6Q8PF91 A0A6Q8PFB9 A0A6Q8PFJ1 A0A6Q8PFN5 A0A6Q8PFW4 A0A6Q8PFY4 A0A6Q8PG64 A0A6Q8PGC7 A0A6Q8PGJ8 A0A6Q8PGK9 A0A6Q8PGN3 A0A6Q8PGU8 A0A6Q8PGX4 A0A6Q8PGY8 A0A6Q8PH25 A0A6Q8PH52 A0A6Q8PH59 A0A6Q8PH63 A0A6Q8PH71 A0A6Q8PHA2 A0A6Q8PHG2 A0A6Q8PHS8
42049,2.110363,1.720884,724_40_C1_2,5 6,"N. bodies,ER",INF2,ENSG00000203485,U-251 MG,Q27J81 A0A087X118 A0A0A0MQU1 A0A6Q8PEY5 A0A6Q8PEY8 A0A6Q8PF29 A0A6Q8PF44 A0A6Q8PF91 A0A6Q8PFB9 A0A6Q8PFJ1 A0A6Q8PFN5 A0A6Q8PFW4 A0A6Q8PFY4 A0A6Q8PG64 A0A6Q8PGC7 A0A6Q8PGJ8 A0A6Q8PGK9 A0A6Q8PGN3 A0A6Q8PGU8 A0A6Q8PGX4 A0A6Q8PGY8 A0A6Q8PH25 A0A6Q8PH52 A0A6Q8PH59 A0A6Q8PH63 A0A6Q8PH71 A0A6Q8PHA2 A0A6Q8PHG2 A0A6Q8PHS8
42058,-4.2754736,-4.4798493,17384_173_F8_1,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,A-431,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42059,-3.432874,-2.138006,71732_1357_F12_2,0 5,"Nucleoplasm,N. bodies",NFATC1,ENSG00000131196,MCF7,O95644 F5H4S8 K7EQ04 K7ER53
42066,-4.373383,-4.4313335,17384_173_F8_2,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,A-431,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42067,-2.7337556,-4.786687,17384_168_F8_2,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,U-2 OS,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42069,-2.2604795,-5.550401,17384_168_F8_1,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,U-2 OS,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42070,-4.000916,-4.3932366,17384_140_F8_2,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,U-251 MG,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42071,-4.0105104,-4.419587,17384_140_F8_1,0 5,"Nucleoplasm,N. bodies",SP100,ENSG00000067066,U-251 MG,P23497 C9JBL0 E9PHV6 H0Y4R8 H7C1G8 H7C4B4
42077,-3.3858674,-2.2043784,71732_1357_F12_1,0 5,"Nucleoplasm,N. bodies",NFATC1,ENSG00000131196,MCF7,O95644 F5H4S8 K7EQ04 K7ER53
42081,-3.958706,-4.4566503,1759_30_F11_2,0 5,"Nucleoplasm,N. bodies",ARNT,ENSG00000143437,A-431,P27540 A6NGV6 D6RDB3
42082,-3.973821,-4.4299064,1759_30_F11_1,0 5,"Nucleoplasm,N. bodies",ARNT,ENSG00000143437,A-431,P27540 A6NGV6 D6RDB3
42089,-2.0500095,-5.409648,17524_948_H7_3,0 3,"Nucleoplasm,N. fibrillar c.",COIL,ENSG00000121058,A-431,P38432 I3L369
42091,-2.0428014,-5.3956785,17524_948_H7_2,0 3,"Nucleoplasm,N. fibrillar c.",COIL,ENSG00000121058,A-431,P38432 I3L369
42092,-1.2882941,-3.669887,17524_943_H7_2,0 3,"Nucleoplasm,N. fibrillar c.",COIL,ENSG00000121058,U-2 OS,P38432 I3L369
42093,-0.9464338,-4.862772,17524_943_H7_1,0 3,"Nucleoplasm,N. fibrillar c.",COIL,ENSG00000121058,U-2 OS,P38432 I3L369
42119,-4.3803973,-3.3647513,17268_1286_D1_4,0 5,"Nucleoplasm,N. bodies",PLXDC2,ENSG00000120594,U-2 OS,Q6UX71
42120,-4.565091,-3.9318497,17268_1286_D1_1,0 5,"Nucleoplasm,N. bodies",PLXDC2,ENSG00000120594,U-2 OS,Q6UX71
42213,-2.3205745,-3.33717,68537_1288_A9_2,0 5,"Nucleoplasm,N. bodies",COIL,ENSG00000121058,HEK 293,P38432 I3L369
42221,-4.278798,-4.800414,68537_1288_A9_1,0 5,"Nucleoplasm,N. bodies",COIL,ENSG00000121058,HEK 293,P38432 I3L369
42222,-2.6243472,-4.005186,68537_1510_C11_1,0 5,"Nucleoplasm,N. bodies",COIL,ENSG00000121058,SH-SY5Y,P38432 I3L369
42224,-2.7513382,-3.8431108,68537_1510_C11_3,0 5,"Nucleoplasm,N. bodies",COIL,ENSG00000121058,SH-SY5Y,P38432 I3L369
42260,-4.155618,-4.323292,67348_1279_E5_5,0 5,"Nucleoplasm,N. bodies",ITGB1BP1,ENSG00000119185,SK-MEL-30,O14713 A8MPU2 C9IZZ8 C9J0J6 C9J5T5 C9J6Y2 C9JBU8 C9JZ07 F8WF20 G3V1A3
42261,-3.4639814,-4.378471,67348_1279_E5_6,0 5,"Nucleoplasm,N. bodies",ITGB1BP1,ENSG00000119185,SK-MEL-30,O14713 A8MPU2 C9IZZ8 C9J0J6 C9J5T5 C9J6Y2 C9JBU8 C9JZ07 F8WF20 G3V1A3
42281,0.18549006,-1.8212674,67765_1369_G8_2,0 7,"Nucleoplasm,Golgi app.",GIPC3,ENSG00000179855,U-2 OS,Q8TF64 A0A2R8Y651
42282,-0.057288464,-1.7101184,67765_1369_G8_3,0 7,"Nucleoplasm,Golgi app.",GIPC3,ENSG00000179855,U-2 OS,Q8TF64 A0A2R8Y651
42283,-4.7572765,-4.2755327,67765_1371_G8_2,0 5,"Nucleoplasm,N. bodies",GIPC3,ENSG00000179855,SK-MEL-30,Q8TF64 A0A2R8Y651
42284,-4.77953,-4.221785,67765_1371_G8_3,0 5,"Nucleoplasm,N. bodies",GIPC3,ENSG00000179855,SK-MEL-30,Q8TF64 A0A2R8Y651
42291,0.7598688,-1.8848757,67765_1550_C10_2,0 7,"Nucleoplasm,Golgi app.",GIPC3,ENSG00000179855,HeLa,Q8TF64 A0A2R8Y651
42292,0.81321836,-1.9260669,67765_1550_C10_3,0 7,"Nucleoplasm,Golgi app.",GIPC3,ENSG00000179855,HeLa,Q8TF64 A0A2R8Y651
42293,-5.3076158,-0.38275594,6778_9_E3_1,0 5,"Nucleoplasm,N. bodies",USP28,ENSG00000048028,U-251 MG,Q96RU2 B4E3L3 F5GZ74 F5H2G4 F5H6Q3 G3V1N5 H0YFA0 H0YFD7 H0YFT9 H0YFX3 H0YG96 H0YH19
42294,-5.0632753,-0.49173954,6778_9_E3_2,0 5,"Nucleoplasm,N. bodies",USP28,ENSG00000048028,U-251 MG,Q96RU2 B4E3L3 F5GZ74 F5H2G4 F5H6Q3 G3V1N5 H0YFA0 H0YFD7 H0YFT9 H0YFX3 H0YG96 H0YH19
42339,-2.7596092,-0.7058104,69738_1769_D12_20_cr59aeec7d860b8,0 5,"Nucleoplasm,N. bodies",EXO1,ENSG00000174371,U-251 MG,Q9UQ84 E5RGY3 E5RHK1 H0YAZ2 Q5T397 Q5T398 Q5T399
42340,-1.7719256,0.096640706,69738_1769_D12_4_cr59aeec7d8590a,0 5,"Nucleoplasm,N. bodies",EXO1,ENSG00000174371,U-251 MG,Q9UQ84 E5RGY3 E5RHK1 H0YAZ2 Q5T397 Q5T398 Q5T399
42341,-4.176832,-4.196362,69738_1776_D5_1,0 5,"Nucleoplasm,N. bodies",EXO1,ENSG00000174371,SH-SY5Y,Q9UQ84 E5RGY3 E5RHK1 H0YAZ2 Q5T397 Q5T398 Q5T399
42342,-4.3482995,-4.3039308,69738_1776_D5_3,0 5,"Nucleoplasm,N. bodies",EXO1,ENSG00000174371,SH-SY5Y,Q9UQ84 E5RGY3 E5RHK1 H0YAZ2 Q5T397 Q5T398 Q5T399
42392,4.127828,-6.894379,18415_157_A4_2,0 1,"Nucleoplasm,N. membrane",UPK3A,ENSG00000100373,U-2 OS,O75631
42393,3.8777382,-6.7963195,18415_157_A4_1,0 1,"Nucleoplasm,N. membrane",UPK3A,ENSG00000100373,U-2 OS,O75631
42394,4.146961,-6.943214,18415_1395_A7_2,1 5,"N. membrane,N. bodies",UPK3A,ENSG00000100373,RT4,O75631
42395,4.428687,-7.1186576,18415_1395_A7_1,1 5,"N. membrane,N. bodies",UPK3A,ENSG00000100373,RT4,O75631
42396,4.258059,-6.982084,18415_1293_E3_2,0 1,"Nucleoplasm,N. membrane",UPK3A,ENSG00000100373,Hep G2,O75631
42397,4.263203,-7.0223436,18415_1293_E3_1,0 1,"Nucleoplasm,N. membrane",UPK3A,ENSG00000100373,Hep G2,O75631
42414,-4.6599016,-4.233215,18749_932_F7_2,0 5,"Nucleoplasm,N. bodies",TERF2IP,ENSG00000166848,U-2 OS,Q9NYB0 A0A590UJT3 H3BMI8 H3BR63
42415,-4.544263,-4.2092123,18749_932_F7_1,0 5,"Nucleoplasm,N. bodies",TERF2IP,ENSG00000166848,U-2 OS,Q9NYB0 A0A590UJT3 H3BMI8 H3BR63
42477,-3.6940095,-3.624767,69119_1515_C10_1,0 5,"Nucleoplasm,N. bodies",TOE1,ENSG00000132773,U-2 OS,Q96GM8
42479,-3.890638,-3.7388675,69119_1515_C10_2,0 5,"Nucleoplasm,N. bodies",TOE1,ENSG00000132773,U-2 OS,Q96GM8
42480,-3.8471339,-2.7560952,69119_1518_A4_1,0 5,"Nucleoplasm,N. bodies",TOE1,ENSG00000132773,RT4,Q96GM8
42481,-4.1434484,-3.1564515,69119_1518_A4_2,0 5,"Nucleoplasm,N. bodies",TOE1,ENSG00000132773,RT4,Q96GM8
42487,-3.7802334,-0.62092954,6915_17_D12_1,0 5,"Nucleoplasm,N. bodies",MDC1,ENSG00000137337,U-2 OS,Q14676 A0A087X0R2 A2AB05 A2AB06 A2AB07 H0Y6Z8
42489,-4.0818634,-0.65425134,6915_17_D12_2,0 5,"Nucleoplasm,N. bodies",MDC1,ENSG00000137337,U-2 OS,Q14676 A0A087X0R2 A2AB05 A2AB06 A2AB07 H0Y6Z8
42490,-4.9632106,-2.9092324,6915_19_D12_1,0 5,"Nucleoplasm,N. bodies",MDC1,ENSG00000137337,A-431,Q14676 A0A087X0R2 A2AB05 A2AB06 A2AB07 H0Y6Z8
42491,-5.025532,-2.8488615,6915_19_D12_2,0 5,"Nucleoplasm,N. bodies",MDC1,ENSG00000137337,A-431,Q14676 A0A087X0R2 A2AB05 A2AB06 A2AB07 H0Y6Z8
42503,0.7037468,-1.8366518,45607_1752_E2_8_cr5804cc90cc642,0 7,"Nucleoplasm,Golgi app.",NOVA2,ENSG00000104967,HUVEC TERT2,Q9UNW9 A0A6Q8PFC2 M0R1A0
42523,-4.0645275,-3.7405508,45728_1411_H2_1,0 5,"Nucleoplasm,N. bodies",EVPLL,ENSG00000214860,HeLa,A8MZ36
42524,-3.965646,-3.5883138,45728_1411_H2_2,0 5,"Nucleoplasm,N. bodies",EVPLL,ENSG00000214860,HeLa,A8MZ36
42527,-4.798182,-2.3921852,45456_799_F5_2,0 5,"Nucleoplasm,N. bodies",SCAF11,ENSG00000139218,A-431,Q99590 A0A087WTB7 A0A087WUE7 A0A0A0MTP7 A8MTP4 A8MUK0 F8VXG7 F8W6K1
42532,-4.8096957,-3.5149739,5044_624_H2_2,0 5,"Nucleoplasm,N. bodies",PPP1R14A,ENSG00000167641,A-431,Q96A00 A0A0B4J2A3 K7EJB8 K7EMN0
42533,-4.7977123,-3.5243137,5044_624_H2_1,0 5,"Nucleoplasm,N. bodies",PPP1R14A,ENSG00000167641,A-431,Q96A00 A0A0B4J2A3 K7EJB8 K7EMN0
42562,-4.8384237,-4.1158104,45908_1143_E5_10,0 5,"Nucleoplasm,N. bodies",NPAT,ENSG00000149308,RH-30,Q14207 E9PKJ1 H0YET3
42563,-4.781898,-3.829979,45908_1143_E5_7,0 5,"Nucleoplasm,N. bodies",NPAT,ENSG00000149308,RH-30,Q14207 E9PKJ1 H0YET3
42564,-4.425059,-3.3204744,45908_1178_D2_1,0 5,"Nucleoplasm,N. bodies",NPAT,ENSG00000149308,SiHa,Q14207 E9PKJ1 H0YET3
42565,-4.6554675,-3.679464,45908_1178_D2_2,0 5,"Nucleoplasm,N. bodies",NPAT,ENSG00000149308,SiHa,Q14207 E9PKJ1 H0YET3
42593,-1.6331022,4.401787,45828_777_F6_1,0 5,"Nucleoplasm,N. bodies",ERCC4,ENSG00000175595,U-2 OS,Q92889 I3L4K0 I3NI48
42594,-1.6386113,4.2731237,45828_777_F6_2,0 5,"Nucleoplasm,N. bodies",ERCC4,ENSG00000175595,U-2 OS,Q92889 I3L4K0 I3NI48
42609,-4.810988,-2.0432994,45456_799_F5_1,0 5,"Nucleoplasm,N. bodies",SCAF11,ENSG00000139218,A-431,Q99590 A0A087WTB7 A0A087WUE7 A0A0A0MTP7 A8MTP4 A8MUK0 F8VXG7 F8W6K1
42628,-0.2700611,-5.703058,451_14_A8_1,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,A-431,P46013
42629,-0.291611,-5.8140464,451_14_A8_2,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,A-431,P46013
42630,-0.29724237,-5.944507,451_16_A8_1,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,U-251 MG,P46013
42631,-0.309541,-5.921993,451_16_A8_2,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,U-251 MG,P46013
42632,-0.05324475,-5.866233,451_26_H10_1,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,U-2 OS,P46013
42633,0.7279459,-4.965117,451_26_H10_2,0 2,"Nucleoplasm,Nucleoli",MKI67,ENSG00000148773,U-2 OS,P46013
