Gene	Ensembl	Uniprot
EXO1	ENSG00000174371	Q9UQ84
EXOC6B	ENSG00000144036	Q9Y2D4
EXOSC1	ENSG00000171311	Q9Y3B2
EYA1	ENSG00000104313	Q99502
FAAP20	ENSG00000162585	Q6NZ36
FAM122A	ENSG00000187866	Q96E09
FAM163B	ENSG00000196990	P0C2L3
FANCD2	ENSG00000144554	Q9BXW9
FANCL	ENSG00000115392	Q9NW38
FAS	ENSG00000026103	P25445
FBXL3	ENSG00000005812	Q9UKT7
FBXO48	ENSG00000204923	Q5FWF7
FGF2	ENSG00000138685	P09038
FGGY	ENSG00000172456	Q96C11
FLI1	ENSG00000151702	Q01543
FLYWCH1	ENSG00000059122	Q4VC44
FOXC2	ENSG00000176692	Q99958
FOXF2	ENSG00000137273	Q12947
FZD2	ENSG00000180340	Q14332
GABARAPL2	ENSG00000034713	P60520
GALNT17	ENSG00000185274	Q6IS24
GATA4	ENSG00000136574	P43694
GCNT7	ENSG00000124091	Q6ZNI0
GEMIN2	ENSG00000092208	O14893
GEMIN4	ENSG00000179409	P57678
GEMIN5	ENSG00000082516	Q8TEQ6
GEMIN6	ENSG00000152147	Q8WXD5
GIPC3	ENSG00000179855	Q8TF64
GMFB	ENSG00000197045	P60983
GMFG	ENSG00000130755	O60234
GNL3	ENSG00000163938	Q9BVP2
GON4L	ENSG00000116580	Q3T8J9
GPR155	ENSG00000163328	Q7Z3F1
GSDMA	ENSG00000167914	Q96QA5
GTF2B	ENSG00000137947	Q00403
GTF3C6	ENSG00000155115	Q969F1
GTPBP1	ENSG00000100226	O00178
H1-0	ENSG00000189060	P07305
HACE1	ENSG00000085382	Q8IYU2
HAND1	ENSG00000113196	O96004
HBS1L	ENSG00000112339	Q9Y450
HDC	ENSG00000140287	P19113
HELB	ENSG00000127311	Q8NG08
HES6	ENSG00000144485	Q96HZ4
HEY2	ENSG00000135547	Q9UBP5
HGH1	ENSG00000235173	Q9BTY7
HHEX	ENSG00000152804	Q03014
HIF1A	ENSG00000100644	Q16665
HIKESHI	ENSG00000149196	Q53FT3
HIPK3	ENSG00000110422	Q9H422
HIVEP1	ENSG00000095951	P15822
HMBOX1	ENSG00000147421	Q6NT76
HOPX	ENSG00000171476	Q9BPY8
HOXA10	ENSG00000253293	P31260
HOXA4	ENSG00000197576	Q00056
HOXB7	ENSG00000260027	P09629
HOXC10	ENSG00000180818	Q9NYD6
HOXD3	ENSG00000128652	P31249
ICE1	ENSG00000164151	Q9Y2F5
ICE2	ENSG00000128915	Q659A1
ID2	ENSG00000115738	Q02363
IDH1	ENSG00000138413	O75874
IGHMBP2	ENSG00000132740	P38935
IKZF2	ENSG00000030419	Q9UKS7
IKZF4	ENSG00000123411	Q9H2S9
INAVA	ENSG00000163362	Q3KP66
INCA1	ENSG00000196388	Q0VD86
INCENP	ENSG00000149503	Q9NQS7
INF2	ENSG00000203485	Q27J81
INO80	ENSG00000128908	Q9ULG1
INO80B	ENSG00000115274	Q9C086
INTS12	ENSG00000138785	Q96CB8
INTS13	ENSG00000064102	Q9NVM9
INTS14	ENSG00000138614	Q96SY0
INTS6L	ENSG00000165359	Q5JSJ4
INTS7	ENSG00000143493	Q9NVH2
IRAG1	ENSG00000072952	Q9Y6F6
ISX	ENSG00000175329	Q2M1V0
ITGB1BP1	ENSG00000119185	O14713
IVL	ENSG00000163207	P07476
JRK	ENSG00000234616	O75564
KAT6B	ENSG00000156650	Q8WYB5
KCNE4	ENSG00000152049	Q8WWG9
KCTD13	ENSG00000174943	Q8WZ19
KDM5A	ENSG00000073614	P29375
KIF18B	ENSG00000186185	Q86Y91
KIF3C	ENSG00000084731	O14782
KLF11	ENSG00000172059	O14901
KLHDC2	ENSG00000165516	Q9Y2U9
KLHL17	ENSG00000187961	Q6TDP4
KLHL18	ENSG00000114648	O94889
KMT2E	ENSG00000005483	Q8IZD2
KNL1	ENSG00000137812	Q8NG31
KREMEN1	ENSG00000183762	Q96MU8
L3MBTL1	ENSG00000185513	Q9Y468
LACTBL1	ENSG00000215906	A8MY62
LAGE3	ENSG00000196976	Q14657
LARS1	ENSG00000133706	Q9P2J5
LBX1	ENSG00000138136	P52954
LETM2	ENSG00000165046	Q2VYF4
LHFPL2	ENSG00000145685	Q6ZUX7
LHX5	ENSG00000089116	Q9H2C1
LPAR4	ENSG00000147145	Q99677
LRRC2	ENSG00000163827	Q9BYS8
LRRC41	ENSG00000132128	Q15345
LRRC9	ENSG00000131951	Q6ZRR7
LRRN4CL	ENSG00000177363	Q8ND94
LSG1	ENSG00000041802	Q9H089
LSM10	ENSG00000181817	Q969L4
LSM11	ENSG00000155858	P83369
LYRM4	ENSG00000214113	Q9HD34
LYSMD2	ENSG00000140280	Q8IV50
MAF	ENSG00000178573	O75444
MAGEA11	ENSG00000185247	P43364
MAML2	ENSG00000184384	Q8IZL2
MAU2	ENSG00000129933	Q9Y6X3
MCIDAS	ENSG00000234602	D6RGH6
MDC1	ENSG00000137337	Q14676
MEAF6	ENSG00000163875	Q9HAF1
MED11	ENSG00000161920	Q9P086
MED19	ENSG00000156603	A0JLT2
MED7	ENSG00000155868	O43513
MESD	ENSG00000117899	Q14696
METTL3	ENSG00000165819	Q86U44
MKI67	ENSG00000148773	P46013
MKNK2	ENSG00000099875	Q9HBH9
MRPL36	ENSG00000171421	Q9P0J6
MRPL44	ENSG00000135900	Q9H9J2
MSANTD2	ENSG00000120458	Q6P1R3
MSH3	ENSG00000113318	P20585
MTBP	ENSG00000172167	Q96DY7
MTMR10	ENSG00000166912	Q9NXD2
MYH9	ENSG00000100345	P35579
MYO1C	ENSG00000197879	O00159
NAA15	ENSG00000164134	Q9BXJ9
NBR1	ENSG00000188554	Q14596
NCAM2	ENSG00000154654	O15394
NCOA2	ENSG00000140396	Q15596
NCOA7	ENSG00000111912	Q8NI08
NDUFS3	ENSG00000213619	O75489
NELFA	ENSG00000185049	Q9H3P2
NELFCD	ENSG00000101158	Q8IXH7
NELFE	ENSG00000204356	P18615
NEMF	ENSG00000165525	O60524
NEUROG1	ENSG00000181965	Q92886
NFATC1	ENSG00000131196	O95644
NFIL3	ENSG00000165030	Q16649
NFKBID	ENSG00000167604	Q8NI38
NHLH2	ENSG00000177551	Q02577
NKX2-4	ENSG00000125816	Q9H2Z4
NLGN1	ENSG00000169760	Q8N2Q7
NME5	ENSG00000112981	P56597
NMNAT1	ENSG00000173614	Q9HAN9
NOCT	ENSG00000151014	Q9UK39
NOP10	ENSG00000182117	Q9NPE3
NOVA2	ENSG00000104967	Q9UNW9
NPAT	ENSG00000149308	Q14207
NPHP4	ENSG00000131697	O75161
NR1D1	ENSG00000126368	P20393
NR2E1	ENSG00000112333	Q9Y466
NRIP2	ENSG00000053702	Q9BQI9
NSMCE2	ENSG00000156831	Q96MF7
NT5C3A	ENSG00000122643	Q9H0P0
NUDT21	ENSG00000167005	O43809
NUDT9	ENSG00000170502	Q9BW91
NUFIP2	ENSG00000108256	Q7Z417
NUP210L	ENSG00000143552	Q5VU65
NUTM2A	ENSG00000184923	Q8IVF1
NUTM2B	ENSG00000188199	A6NNL0
NUTM2D	ENSG00000214562	Q5VT03
NUTM2E	ENSG00000228570	B1AL46
NUTM2F	ENSG00000130950	A1L443
NUTM2G	ENSG00000188152	Q5VZR2
OBI1	ENSG00000152193	Q5W0B1
OGFOD2	ENSG00000111325	Q6N063
OTP	ENSG00000171540	Q5XKR4
PABPC1L	ENSG00000101104	Q4VXU2
PALM3	ENSG00000187867	A6NDB9
PAPOLG	ENSG00000115421	Q9BWT3
PARP11	ENSG00000111224	Q9NR21
PARP3	ENSG00000041880	Q9Y6F1
PBX1	ENSG00000185630	P40424
PBX3	ENSG00000167081	P40426
PCNP	ENSG00000081154	Q8WW12
PEX6	ENSG00000124587	Q13608
PGP	ENSG00000184207	A6NDG6
PGRMC2	ENSG00000164040	O15173
PHPT1	ENSG00000054148	Q9NRX4
PHTF1	ENSG00000116793	Q9UMS5
PIR	ENSG00000087842	O00625
PKN2	ENSG00000065243	Q16513
PLAGL1	ENSG00000118495	Q9UM63
PLEKHA2	ENSG00000169499	
PLEKHH2	ENSG00000152527	Q8IVE3
PLSCR4	ENSG00000114698	Q9NRQ2
PLXDC2	ENSG00000120594	Q6UX71
PML	ENSG00000140464	P29590
PMS1	ENSG00000064933	P54277
PNMA8A	ENSG00000182013	Q86V59
POLE2	ENSG00000100479	P56282
POLG2	ENSG00000256525	Q9UHN1
POLR3G	ENSG00000113356	O15318
POU6F1	ENSG00000184271	
PPM1M	ENSG00000164088	Q96MI6
PPME1	ENSG00000214517	Q9Y570
PPP1R10	ENSG00000204569	Q96QC0
PPP1R14A	ENSG00000167641	Q96A00
PPWD1	ENSG00000113593	Q96BP3
PRDM15	ENSG00000141956	P57071
PRDM5	ENSG00000138738	Q9NQX1
PRDM8	ENSG00000152784	Q9NQV8
PRPF40B	ENSG00000110844	Q6NWY9
PRR19	ENSG00000188368	A6NJB7
PRR23A	ENSG00000206260	A6NEV1
PRR23B	ENSG00000184814	Q6ZRT6
PRR23C	ENSG00000233701	Q6ZRP0
PRRX2	ENSG00000167157	Q99811
PSKH2	ENSG00000147613	Q96QS6
PSMA1	ENSG00000129084	P25786
PSMB7	ENSG00000136930	Q99436
PSMC3	ENSG00000165916	P17980
PSME1	ENSG00000092010	Q06323
PSMG2	ENSG00000128789	Q969U7
PSTK	ENSG00000179988	Q8IV42
PTK6	ENSG00000101213	Q13882
PTPN23	ENSG00000076201	Q9H3S7
PUS10	ENSG00000162927	Q3MIT2
RAB38	ENSG00000123892	P57729
RAD18	ENSG00000070950	Q9NS91
RAD51B	ENSG00000182185	O15315
RAD9A	ENSG00000172613	Q99638
RALBP1	ENSG00000017797	Q15311
RANBP17	ENSG00000204764	Q9H2T7
RAPGEF5	ENSG00000136237	Q92565
RAPH1	ENSG00000173166	Q70E73
RASL11A	ENSG00000122035	Q6T310
RASL11B	ENSG00000128045	Q9BPW5
RERE	ENSG00000142599	Q9P2R6
REXO1	ENSG00000079313	Q8N1G1
RFX8	ENSG00000196460	Q6ZV50
RGS10	ENSG00000148908	O43665
RIBC1	ENSG00000158423	Q8N443
RMI1	ENSG00000178966	Q9H9A7
RNF168	ENSG00000163961	Q8IYW5
RNF169	ENSG00000166439	Q8NCN4
RNF2	ENSG00000121481	Q99496
RNF32	ENSG00000105982	Q9H0A6
RNF34	ENSG00000170633	Q969K3
RNF4	ENSG00000063978	P78317
RNF41	ENSG00000181852	Q9H4P4
RNPEPL1	ENSG00000142327	Q9HAU8
RORC	ENSG00000143365	P51449
RP2	ENSG00000102218	O75695
RPA2	ENSG00000117748	P15927
RPL4	ENSG00000174444	P36578
RSBN1	ENSG00000081019	Q5VWQ0
RTN1	ENSG00000139970	Q16799
RXRG	ENSG00000143171	P48443
S100A14	ENSG00000189334	Q9HCY8
SAFB2	ENSG00000130254	Q14151
SAGE1	ENSG00000181433	Q9NXZ1
SAP18	ENSG00000150459	O00422
SAP25	ENSG00000205307	Q8TEE9
SASH3	ENSG00000122122	O75995
SATB1	ENSG00000182568	Q01826
SBF1	ENSG00000100241	O95248
SCAF11	ENSG00000139218	Q99590
SCARF2	ENSG00000244486	Q96GP6
SCHIP1	ENSG00000151967	P0DPB3
SCMH1	ENSG00000010803	Q96GD3
SCN1A	ENSG00000144285	P35498
SCRT1	ENSG00000261678	Q9BWW7
SCYL3	ENSG00000000457	Q8IZE3
SEMA6A	ENSG00000092421	Q9H2E6
SENP7	ENSG00000138468	Q9BQF6
SERF1A	ENSG00000172058	O75920
SERF1B	ENSG00000205572	O75920
SETBP1	ENSG00000152217	Q9Y6X0
SFT2D1	ENSG00000198818	Q8WV19
SGO2	ENSG00000163535	Q562F6
SH3BGRL3	ENSG00000142669	Q9H299
SH3BP5	ENSG00000131370	O60239
SHCBP1	ENSG00000171241	Q8NEM2
SHISA2	ENSG00000180730	Q6UWI4
SIM2	ENSG00000159263	Q14190
SIPA1L2	ENSG00000116991	Q9P2F8
SIRPB2	ENSG00000196209	Q5JXA9
SKI	ENSG00000157933	P12755
SKIDA1	ENSG00000180592	Q1XH10
SKIV2L	ENSG00000204351	Q15477
SLC27A6	ENSG00000113396	Q9Y2P4
SLC3A1	ENSG00000138079	Q07837
SLC5A7	ENSG00000115665	Q9GZV3
SLTM	ENSG00000137776	Q9NWH9
SMAD6	ENSG00000137834	O43541
SMCHD1	ENSG00000101596	A6NHR9
SMIM2	ENSG00000139656	Q9BVW6
SMN1	ENSG00000172062	Q16637
SMN2	ENSG00000205571	Q16637
SMNDC1	ENSG00000119953	O75940
SMS	ENSG00000102172	P52788
SNAPC2	ENSG00000104976	Q13487
SNAPC3	ENSG00000164975	Q92966
SNRPA1	ENSG00000131876	P09661
SNRPD3	ENSG00000100028	P62318
SP100	ENSG00000067066	P23497
SPAG5	ENSG00000076382	Q96R06
SRCAP	ENSG00000080603	Q6ZRS2
SRP19	ENSG00000153037	P09132
STAG1	ENSG00000118007	Q8WVM7
STK32B	ENSG00000152953	Q9NY57
STK35	ENSG00000125834	Q8TDR2
STK4	ENSG00000101109	Q13043
SUDS3	ENSG00000111707	Q9H7L9
SUGP2	ENSG00000064607	Q8IX01
SUMO1	ENSG00000116030	P63165
SUMO2	ENSG00000188612	P61956
SUMO3	ENSG00000184900	P55854
SUMO4	ENSG00000177688	Q6EEV6
SUZ12	ENSG00000178691	Q15022
SVBP	ENSG00000177868	Q8N300
SYCP1	ENSG00000198765	Q15431
TAMALIN	ENSG00000161835	Q7Z6J2
TARBP2	ENSG00000139546	Q15633
TBC1D10C	ENSG00000175463	Q8IV04
TBX1	ENSG00000184058	O43435
TC2N	ENSG00000165929	Q8N9U0
TCAF1	ENSG00000198420	Q9Y4C2
TCF20	ENSG00000100207	Q9UGU0
TCF7L2	ENSG00000148737	Q9NQB0
TDP2	ENSG00000111802	O95551
TELO2	ENSG00000100726	Q9Y4R8
TERF1	ENSG00000147601	P54274
TERF2	ENSG00000132604	Q15554
TERF2IP	ENSG00000166848	Q9NYB0
TEX49	ENSG00000257987	A0A1B0GTD5
THNSL1	ENSG00000185875	Q8IYQ7
THRB	ENSG00000151090	P10828
TIGD1	ENSG00000221944	Q96MW7
TIGD2	ENSG00000180346	Q4W5G0
TINF2	ENSG00000092330	Q9BSI4
TLE2	ENSG00000065717	Q04725
TMA7	ENSG00000232112	Q9Y2S6
TMEM132E	ENSG00000181291	Q6IEE7
TMEM255A	ENSG00000125355	Q5JRV8
TMEM62	ENSG00000137842	Q0P6H9
TMEM94	ENSG00000177728	Q12767
TNKS	ENSG00000173273	O95271
TOE1	ENSG00000132773	Q96GM8
TONSL	ENSG00000160949	Q96HA7
TOPBP1	ENSG00000163781	Q92547
TP53BP1	ENSG00000067369	Q12888
TPP2	ENSG00000134900	P29144
TRAK2	ENSG00000115993	O60296
TRIM22	ENSG00000132274	Q8IYM9
TRIM25	ENSG00000121060	Q14258
TRIM41	ENSG00000146063	Q8WV44
TRIP4	ENSG00000103671	Q15650
TRMT11	ENSG00000066651	Q7Z4G4
TRMT13	ENSG00000122435	Q9NUP7
TRMT2B	ENSG00000188917	Q96GJ1
TSACC	ENSG00000163467	Q96A04
TSC22D1	ENSG00000102804	Q15714
TSKU	ENSG00000182704	Q8WUA8
TSPAN15	ENSG00000099282	O95858
TSSK3	ENSG00000162526	Q96PN8
TTC9	ENSG00000133985	Q92623
TYMP	ENSG00000025708	P19971
TYW5	ENSG00000162971	A2RUC4
UBAP1L	ENSG00000246922	F5GYI3
UBASH3B	ENSG00000154127	Q8TF42
UBE2M	ENSG00000130725	P61081
UBE2O	ENSG00000175931	Q9C0C9
UBN1	ENSG00000118900	Q9NPG3
UIMC1	ENSG00000087206	Q96RL1
UNC80	ENSG00000144406	Q8N2C7
UPK3A	ENSG00000100373	O75631
UQCC2	ENSG00000137288	Q9BRT2
USP15	ENSG00000135655	Q9Y4E8
USP28	ENSG00000048028	Q96RU2
USP7	ENSG00000187555	Q93009
VIRMA	ENSG00000164944	Q69YN4
WDR31	ENSG00000148225	Q8NA23
WDR49	ENSG00000174776	Q8IV35
WDR76	ENSG00000092470	Q9H967
WRAP53	ENSG00000141499	Q9BUR4
WWTR1	ENSG00000018408	Q9GZV5
XRRA1	ENSG00000166435	Q6P2D8
YARS2	ENSG00000139131	Q9Y2Z4
YME1L1	ENSG00000136758	Q96TA2
YTHDC2	ENSG00000047188	Q9H6S0
YY1	ENSG00000100811	P25490
YY2	ENSG00000230797	O15391
Z82206.1	ENSG00000225528	
ZBED2	ENSG00000177494	Q9BTP6
ZBTB20	ENSG00000181722	Q9HC78
ZBTB4	ENSG00000174282	Q9P1Z0
ZBTB45	ENSG00000119574	Q96K62
ZBTB5	ENSG00000168795	O15062
ZC3H8	ENSG00000144161	Q8N5P1
ZCCHC12	ENSG00000174460	Q6PEW1
ZFAND5	ENSG00000107372	O76080
ZFAT	ENSG00000066827	Q9P243
ZIC2	ENSG00000043355	O95409
ZKSCAN1	ENSG00000106261	P17029
ZNF143	ENSG00000166478	P52747
ZNF174	ENSG00000103343	Q15697
ZNF20	ENSG00000132010	P17024
ZNF202	ENSG00000166261	O95125
ZNF221	ENSG00000159905	Q9UK13
ZNF222	ENSG00000159885	Q9UK12
ZNF226	ENSG00000167380	Q9NYT6
ZNF234	ENSG00000263002	Q14588
ZNF239	ENSG00000196793	Q16600
ZNF26	ENSG00000198393	P17031
ZNF300	ENSG00000145908	Q96RE9
ZNF32	ENSG00000169740	P17041
ZNF341	ENSG00000131061	Q9BYN7
ZNF350	ENSG00000256683	Q9GZX5
ZNF410	ENSG00000119725	Q86VK4
ZNF416	ENSG00000083817	Q9BWM5
ZNF433	ENSG00000197647	Q8N7K0
ZNF470	ENSG00000197016	Q6ECI4
ZNF511	ENSG00000198546	Q8NB15
ZNF511-PRAP1	ENSG00000283496	
ZNF514	ENSG00000144026	Q96K75
ZNF565	ENSG00000196357	Q8N9K5
ZNF662	ENSG00000182983	Q6ZS27
ZNF717	ENSG00000227124	
ZNF778	ENSG00000170100	Q96MU6
ZNF786	ENSG00000197362	Q8N393
ZNF792	ENSG00000180884	Q3KQV3
ZNF8	ENSG00000278129	P17098
ZNF829	ENSG00000185869	Q3KNS6
ZSCAN12	ENSG00000158691	O43309
ZWINT	ENSG00000122952	O95229
